symbol,mcap_cr
1STCUS,11.5
20MICRONS,626.21
21STCENMGM,37.67
360ONE,44225.63
3BBLACKBIO,1158.86
3BFILMS,52.45
3CIT,10.84
3IINFOLTD,329.17
3MINDIA,37603.84
3PLAND,60.48
4THGEN,3.22
5PAISA,1297.62
63MOONS,2937.92
7NR,25.28
7SEASL,174.33
7TEC,41.7
A1L,901.54
A2ZINFRA,271.19
AAATECH,126.39
AADHAARVEN,7.7
AADHARHFC,20746.57
AADIIND,9.21
AAGAMCAP,23.25
AAIL,103.22
AAKASH,87.74
AANANDALAK,4.13
AANCHALISP,11.04
AAPLUSTRAD,30.6
AARCON,8.17
AAREYDRUGS,211.78
AARNAV,104.58
AARON,297.62
AARSHYAM,4.03
AARTECH,145.3
AARTIDRUGS,3391.05
AARTIIND,15833.51
AARTIPHARM,6372.03
AARTISURF,330.88
AARVI,192.09
AASHKA,175.5
AASTAFIN,55.01
AAVAS,10584.23
AAYUSH,167.35
AAYUSHBULL,1667.11
ABAN,113.46
ABANSENT,188.39
ABATEAS,188.87
ABB,133314.16
ABBOTINDIA,56740.84
ABCAPITAL,90641.1
ABCINDQ,35.69
ABCOTS,748.92
ABDL,14513.23
ABFRL,7890.28
ABHICAP,81.81
ABHIFIN,21.94
ABHIINFRA,3.79
ABHISHEK,0.91
ABINFRA,1021.46
ABIRAFN,18.45
ABLBL,12757.55
ABMINTLLTD,40.55
ABMKNO,470.88
ABREL,14834.28
ABRFL,43.31
ABRIL,30.16
ABSLAMC,27715.27
ABVL,131.37
ACC,27898.12
ACCEDERE,32.12
ACCEL,75.29
ACCELERATE,47.57
ACCELYA,1779.1
ACCORDTS,120.69
ACCURACY,76.69
ACE,10555.61
ACEALPHA,179.03
ACEEDU,4.23
ACEENGITEC,11.36
ACEINTEG,19.73
ACEMEN,124.51
ACESOFT,274.07
ACFL,27.86
ACFSL,23.3
ACGL,1118.68
ACHAL,1.77
ACHYUT,135.85
ACI,6971.68
ACIIN,13.02
ACKNIT,83.46
ACL,515.17
ACLD,286.68
ACME,82.13
ACMESOLAR,16608.63
ACML,51.93
ACROW,48.86
ACSTECH,236.17
ACTIVE,180.66
ACUTAAS,19763.52
